Year,Value
1958,9.888625469246318
1959,9.789682675814753
1960,9.649002535925614
1961,9.546782826874827
1962,9.433694214876034
1963,9.318179591836735
1964,9.200513164965074
1965,9.056945252578682
1966,8.791863928112965
1967,8.554661503872097
1968,8.204195016770484
1969,7.779261699227625
1970,7.35014166130071
1971,7.047604445359128
1972,6.8242945396572345
1973,6.427235360360361
1974,5.787444651005577
1975,5.302618457726851
1976,5.014542392736858
1977,4.7084160593977735
1978,4.3745924885028105
1979,3.9320599379951777
1980,3.4628688441702904
1981,3.138512510310696
1982,2.957194300518135
1983,2.865153112449799
1984,2.7470166853842457
1985,2.652952432599938
1986,2.603536075420056
1987,2.511500550055006
1988,2.4131005566908605
1989,2.301983732186072
1990,2.184087633139869
1991,2.095350302881968
1992,2.0337516332105956
1993,1.9754433227574273
1994,1.9252437173216395
1995,1.8727064420868427
1996,1.819376793114441
1997,1.7778169452808639
1998,1.7506420939624765
1999,1.7131577367552153
2000,1.6571965737514518
2001,1.6116486257530118
2002,1.5864864489228632
2003,1.551271121177803
2004,1.510822818318186
2005,1.4612464262854705
2006,1.4155805878219172
2007,1.376318722371086
2008,1.3254339824200834
2009,1.3301633284701473
2010,1.3087000786497014
2011,1.2686507833599456
2012,1.24293036219383
2013,1.2249863619371952
2014,1.2054315739673633
2015,1.2040032993413974
2016,1.189003036714876
2017,1.1642042064502531
2018,1.1364455766171238
2019,1.1162173729232054
2020,1.1026156779685576
2021,1.0531406180948242
2022,1.0
